FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,LULC,Drainage density,Geomorphology,Soil,Slope,Rain,Lineament density,Lithology,validation point categorical data,Net Groundwater Recharge
87,Point,GT7315008,nvblwSL,26.2,88.88,NIL008,RA-05,14,0.075371,57,5,1.40459,2067.59,0.026797,21,4,247.275
90,Point,GT7315011,nvblwSL,26.04,88.82,NIL011,RA-14,14,0.019847,53,5,2.40791,2077.48,0,21,3,147.057
102,Point,GT7704002,nvblwSL,26.27,88.37,PAN002,DI007,12,0.11623,69,5,2.18069,2619.44,0.05705,19,5,310.863
106,Point,GT7725004,nvblwSL,26.26,88.57,PAN004,DI008,14,0.113225,74,5,1.73686,2260.65,0.140066,19,4,264.825
108,Point,GT7725008,nvblwSL,26.17,88.65,PAN008,DI028,12,0.067711,62,5,3.66477,2172.96,0.02567,19,4,279.638
112,Point,GT7734013,nvblwSL,26.27,88.72,PAN013,DI033,14,0.199261,63,5,1.70315,2212.98,0.092272,21,4,262.013
114,Point,GT7773018,nvblwSL,26.36,88.68,PAN018,DI027,12,0.103502,71,5,3.04472,2300.76,0.081112,19,4,269.256
116,Point,GT7790021,nvblwSL,26.59,88.41,PAN021,DI070,12,0.158977,101,5,1.22833,3019.13,0.161631,19,4,278.844
117,Point,GT8527003,nvblwSL,25.9,89.21,RAN003,RA-47,19,0.105541,39,5,1.40459,2011.68,0.282359,15,5,313.837
148,Point,GT8172032,smtmblwSL,24.41,88.52,RAJ032,RJ036,3,0.085395,19,5,1.44529,1273.04,0.240298,9,1,40.7304
175,Point,GT7683035,smtmblwSL,23.87,89.45,PAB035,PA038,19,0.115311,2,5,0,1309.22,0.210984,15,2,86.9562
176,Point,GT7725006,smtmblwSL,26.2,88.61,PAN006,DI012,14,0.040269,66,5,0.481854,2228.61,0.00073,19,4,256.452
177,Point,GT7734009,smtmblwSL,26.19,88.75,PAN009,DI029,12,0.165448,59,5,0.761852,2154.25,0.081553,21,4,240.217
178,Point,GT7773014,smtmblwSL,26.41,88.65,PAN014,DI076,14,0.067478,77,5,2.40791,2372.1,0.078239,19,4,277.244
202,Point,GT9494029,smtmblwSL,26.02,88.46,THA029,DI082,12,0.169153,54,5,4.86678,2190.91,0.048858,19,4,290.577
1,Point,GT8134018,alwsblwSL,24.43,88.49,RAJ018,RJ081,14,0.107233,21,3,3.22903,1269.59,0.082798,2,1,32.5228
2,Point,GT8134019,alwsblwSL,24.51,88.32,RAJ019,RJ091,12,0.132864,29,3,0.340727,1264.65,0.333817,2,1,26.0404
3,Point,GT8134020,alwsblwSL,24.52,88.38,RAJ020,RJ092,14,0,38,3,1.52343,1256.35,0,2,1,26.1104
15,Point,GT1054014,alwsblwSL,24.79,89.26,BOG014,BO014,14,0.089421,23,3,2.15395,1499.63,0.044482,2,1,42.9469
16,Point,GT1088022,alwsblwSL,24.66,89.45,BOG022,BO027,14,0.06924,15,3,0.963641,1499.28,0.034344,9,2,71.3366
24,Point,GT6450017,alwsblwSL,24.93,88.77,NAO017,RJ057,14,0.068958,20,3,1.70315,1385.66,0.049139,2,2,78.5167
35,Point,GT3230007,alwsblwSL,25.19,89.35,GAI007,RA-80,14,0.144533,23,3,1.07736,1504.78,0.079969,21,3,196.136
43,Point,GT2712005,nvblwSL,25.89,88.68,DIN005,DI073,14,0.149649,47,3,0.681429,2098.5,0.137129,19,4,260.471
44,Point,GT2712006,nvblwSL,25.95,88.61,DIN006,DI079,12,0,50,3,1.52343,2151.14,0.072484,19,4,263.423
